"","rank","score_m","score_f","male_author","male_title","female_author","female_title"
"1",1,6.60246913580247,5.89722675367047,"Mortier, Erwin","Godenslaap","Moor, Margriet de","De schilder en het meisje"
"2",2,6.54086956521739,5.86124401913876,"Mortier, Erwin","Gestameld liedboek","Moor, Marente de","De Nederlandse maagd"
"3",3,6.37276478679505,5.81196581196581,"Lanoye, Tom","Sprakeloos","Enquist, Anna","De verdovers"
"4",4,6.28515625,5.67375886524823,"Heijden, A.F.Th van der","Tonio","Loo, Tessa de","De grote moeder"
"5",5,6.26462765957447,5.66468253968254,"Enter, Stephan","Grip","Durlacher, Jessica","De held"
"6",6,6.24557956777996,5.53131749460043,"Bernlef, J.","Geleende levens","Dorrestein, Renate","De stiefmoeder"
"7",7,6.20282413350449,5.52083333333333,"Wieringa, Tommy","Caesarion","Voskuijl, Anouschka","Dorp"
"8",8,6.18867924528302,5.49397590361446,"Bakker, Gerbrand","De omweg","Dorrestein, Renate","De zondagmiddagauto"
"9",9,6.16851168511685,5.35585042219542,"Japin, Arthur","De overgave","Treur, Franca","Dorsvloer vol confetti"
"10",10,6.16521739130435,5.34892787524366,"Rosenboom, Thomas","Zoete mond","Meer, Vonne van der","De vrouw met de sleutel"
